Year;male;female;total
2000.0;17.5;16.2;16.9
2001.0;17.4;16.6;17.0
2002.0;17.6;17.2;17.4
2003.0;18.2;18.7;18.4
2004.0;19.2;19.7;19.5
2005.0;20.5;21.6;21.1
2006.0;21.3;23.2;22.2
2007.0;23.0;25.2;24.1
2008.0;24.7;27.7;26.2
2009.0;27.8;30.7;29.2
2010.0;28.3;31.5;29.8
2011.0;29.5;32.3;30.9
2012.0;30.3;32.9;31.6
2013.0;29.7;32.9;31.3
2014.0;30.2;33.2;31.7
2015.0;30.6;34.0;32.3
2016.0;28.2;33.7;30.8
2017.0;28.7;35.1;31.8
2018.0;27.9;34.8;31.2
2019.0;28.4;36.1;32.1
2020.0;26.5;33.8;30.0
2021.0;28.6;37.7;32.9
2022.0;27.6;36.0;31.6
2023.0;27.8;36.0;31.7
