age,sex,isced11,geo,age_numeric,value
1 years,Females,Bachelor's or equivalent level,Austria,1,0
1 years,Males,Master's or equivalent level,Switzerland,1,0
1 years,Males,Master's or equivalent level,Türkiye,1,0
1 years,Males,Master's or equivalent level,United Kingdom,1,0
1 years,Total,Bachelor's or equivalent level,Austria,1,0
1 years,Total,Bachelor's or equivalent level,Belgium,1,0
1 years,Total,Bachelor's or equivalent level,Bosnia and Herzegovina,1,0
1 years,Total,Bachelor's or equivalent level,Bulgaria,1,0
1 years,Total,Bachelor's or equivalent level,Croatia,1,0
1 years,Total,Bachelor's or equivalent level,Cyprus,1,0
1 years,Total,Bachelor's or equivalent level,Czechia,1,0
1 years,Total,Bachelor's or equivalent level,Denmark,1,0
1 years,Males,Master's or equivalent level,Sweden,1,0
1 years,Total,Bachelor's or equivalent level,Estonia,1,0
1 years,Total,Bachelor's or equivalent level,France,1,0
1 years,Total,Bachelor's or equivalent level,Greece,1,0
1 years,Total,Bachelor's or equivalent level,Hungary,1,0
1 years,Total,Bachelor's or equivalent level,Iceland,1,0
1 years,Total,Bachelor's or equivalent level,Ireland,1,0
1 years,Total,Bachelor's or equivalent level,Italy,1,0
1 years,Total,Bachelor's or equivalent level,Latvia,1,0
1 years,Total,Bachelor's or equivalent level,Liechtenstein,1,0
1 years,Total,Bachelor's or equivalent level,Lithuania,1,0
1 years,Total,Bachelor's or equivalent level,Malta,1,0
1 years,Total,Bachelor's or equivalent level,Montenegro,1,0
1 years,Total,Bachelor's or equivalent level,Finland,1,0
1 years,Total,Bachelor's or equivalent level,Netherlands,1,0
1 years,Males,Master's or equivalent level,Spain,1,0
1 years,Males,Master's or equivalent level,Slovakia,1,0
1 years,Males,Master's or equivalent level,Cyprus,1,0
1 years,Males,Master's or equivalent level,Czechia,1,0
1 years,Males,Master's or equivalent level,Denmark,1,0
1 years,Males,Master's or equivalent level,Estonia,1,0
1 years,Males,Master's or equivalent level,Finland,1,0
1 years,Males,Master's or equivalent level,France,1,0
1 years,Males,Master's or equivalent level,Greece,1,0
1 years,Males,Master's or equivalent level,Hungary,1,0
1 years,Males,Master's or equivalent level,Iceland,1,0
1 years,Males,Master's or equivalent level,Ireland,1,0
1 years,Males,Master's or equivalent level,Italy,1,0
1 years,Males,Master's or equivalent level,Slovenia,1,0
1 years,Males,Master's or equivalent level,Latvia,1,0
1 years,Males,Master's or equivalent level,Lithuania,1,0
1 years,Males,Master's or equivalent level,Luxembourg,1,0
1 years,Males,Master's or equivalent level,Malta,1,0
1 years,Males,Master's or equivalent level,Montenegro,1,0
1 years,Males,Master's or equivalent level,Netherlands,1,0
1 years,Males,Master's or equivalent level,North Macedonia,1,0
1 years,Males,Master's or equivalent level,Norway,1,0
