iscedf13,isced11,sex,geo,time,value
Total,Bachelor's or equivalent level,Total,Belgium,2014,362780
Total,Bachelor's or equivalent level,Total,Belgium,2015,365925
Total,Bachelor's or equivalent level,Total,Belgium,2016,369299
Total,Bachelor's or equivalent level,Total,Belgium,2017,384173
Total,Bachelor's or equivalent level,Total,Belgium,2018,372686
Total,Bachelor's or equivalent level,Total,Belgium,2019,376473
Total,Bachelor's or equivalent level,Total,Belgium,2020,371661
Total,Bachelor's or equivalent level,Total,Belgium,2021,379280
Total,Bachelor's or equivalent level,Total,Belgium,2022,382298
Total,Bachelor's or equivalent level,Total,Belgium,2023,379455
Total,Bachelor's or equivalent level,Total,Bulgaria,2014,191416
Total,Bachelor's or equivalent level,Total,Bulgaria,2015,186702
Total,Bachelor's or equivalent level,Total,Bulgaria,2016,178365
Total,Bachelor's or equivalent level,Total,Bulgaria,2017,165572
Total,Bachelor's or equivalent level,Total,Bulgaria,2018,155091
Total,Bachelor's or equivalent level,Total,Bulgaria,2019,149686
Total,Bachelor's or equivalent level,Total,Bulgaria,2020,147944
Total,Bachelor's or equivalent level,Total,Bulgaria,2021,147756
Total,Bachelor's or equivalent level,Total,Bulgaria,2022,146799
Total,Bachelor's or equivalent level,Total,Bulgaria,2023,142730
Total,Bachelor's or equivalent level,Total,Czechia,2014,256329
Total,Bachelor's or equivalent level,Total,Czechia,2015,236887
Total,Bachelor's or equivalent level,Total,Czechia,2016,221198
Total,Bachelor's or equivalent level,Total,Czechia,2017,206068
Total,Bachelor's or equivalent level,Total,Czechia,2018,193614
Total,Bachelor's or equivalent level,Total,Czechia,2019,187830
Total,Bachelor's or equivalent level,Total,Czechia,2020,190673
Total,Bachelor's or equivalent level,Total,Czechia,2021,198701
Total,Bachelor's or equivalent level,Total,Czechia,2022,204943
Total,Bachelor's or equivalent level,Total,Czechia,2023,207109
Total,Bachelor's or equivalent level,Total,Denmark,2014,187902
Total,Bachelor's or equivalent level,Total,Denmark,2015,195054
Total,Bachelor's or equivalent level,Total,Denmark,2016,195700
Total,Bachelor's or equivalent level,Total,Denmark,2017,195969
Total,Bachelor's or equivalent level,Total,Denmark,2018,195846
Total,Bachelor's or equivalent level,Total,Denmark,2019,194663
Total,Bachelor's or equivalent level,Total,Denmark,2020,194534
Total,Bachelor's or equivalent level,Total,Denmark,2021,193917
Total,Bachelor's or equivalent level,Total,Denmark,2022,194686
Total,Bachelor's or equivalent level,Total,Denmark,2023,187015
Total,Bachelor's or equivalent level,Total,Germany,2014,1734827
Total,Bachelor's or equivalent level,Total,Germany,2015,1792434
Total,Bachelor's or equivalent level,Total,Germany,2016,1832459
Total,Bachelor's or equivalent level,Total,Germany,2017,1859807
Total,Bachelor's or equivalent level,Total,Germany,2018,1872666
Total,Bachelor's or equivalent level,Total,Germany,2019,2012794
Total,Bachelor's or equivalent level,Total,Germany,2020,2002583
Total,Bachelor's or equivalent level,Total,Germany,2021,2032396
Total,Bachelor's or equivalent level,Total,Germany,2022,2017903
Total,Bachelor's or equivalent level,Total,Germany,2023,1989871
Total,Bachelor's or equivalent level,Total,Estonia,2014,40539
Total,Bachelor's or equivalent level,Total,Estonia,2015,36299
Total,Bachelor's or equivalent level,Total,Estonia,2016,32799
Total,Bachelor's or equivalent level,Total,Estonia,2017,30003
Total,Bachelor's or equivalent level,Total,Estonia,2018,28719
Total,Bachelor's or equivalent level,Total,Estonia,2019,28211
Total,Bachelor's or equivalent level,Total,Estonia,2020,27471
Total,Bachelor's or equivalent level,Total,Estonia,2021,27460
Total,Bachelor's or equivalent level,Total,Estonia,2022,27057
Total,Bachelor's or equivalent level,Total,Estonia,2023,26995
Total,Bachelor's or equivalent level,Total,Ireland,2014,154294
Total,Bachelor's or equivalent level,Total,Ireland,2015,161302
Total,Bachelor's or equivalent level,Total,Ireland,2016,164268
Total,Bachelor's or equivalent level,Total,Ireland,2017,166891
Total,Bachelor's or equivalent level,Total,Ireland,2018,168877
Total,Bachelor's or equivalent level,Total,Ireland,2019,167449
Total,Bachelor's or equivalent level,Total,Ireland,2020,167763
Total,Bachelor's or equivalent level,Total,Ireland,2021,175183
