isced11,iscedf13,sex,geo,time,value
Master's or equivalent level,Total,Total,Belgium,2013,36993
Master's or equivalent level,Total,Total,Belgium,2014,38592
Master's or equivalent level,Total,Total,Belgium,2015,39093
Master's or equivalent level,Total,Total,Belgium,2016,43162
Master's or equivalent level,Total,Total,Belgium,2017,40674
Master's or equivalent level,Total,Total,Belgium,2018,40951
Master's or equivalent level,Total,Total,Belgium,2019,41026
Master's or equivalent level,Total,Total,Belgium,2020,44129
Master's or equivalent level,Total,Total,Belgium,2021,44605
Master's or equivalent level,Total,Total,Belgium,2022,44446
Master's or equivalent level,Total,Total,Belgium,2023,47736
Master's or equivalent level,Total,Total,Bulgaria,2013,26918
Master's or equivalent level,Total,Total,Bulgaria,2014,26454
Master's or equivalent level,Total,Total,Bulgaria,2015,27118
Master's or equivalent level,Total,Total,Bulgaria,2016,25606
Master's or equivalent level,Total,Total,Bulgaria,2017,24327
Master's or equivalent level,Total,Total,Bulgaria,2018,23415
Master's or equivalent level,Total,Total,Bulgaria,2019,22529
Master's or equivalent level,Total,Total,Bulgaria,2020,20395
Master's or equivalent level,Total,Total,Bulgaria,2021,21002
Master's or equivalent level,Total,Total,Bulgaria,2022,22585
Master's or equivalent level,Total,Total,Bulgaria,2023,20377
Master's or equivalent level,Total,Total,Czechia,2013,38813
Master's or equivalent level,Total,Total,Czechia,2014,45465
Master's or equivalent level,Total,Total,Czechia,2015,43899
Master's or equivalent level,Total,Total,Czechia,2016,38455
Master's or equivalent level,Total,Total,Czechia,2017,39582
Master's or equivalent level,Total,Total,Czechia,2018,33070
Master's or equivalent level,Total,Total,Czechia,2019,32380
Master's or equivalent level,Total,Total,Czechia,2020,30223
Master's or equivalent level,Total,Total,Czechia,2021,28201
Master's or equivalent level,Total,Total,Czechia,2022,27827
Master's or equivalent level,Total,Total,Czechia,2023,29304
Master's or equivalent level,Total,Total,Denmark,2013,17522
Master's or equivalent level,Total,Total,Denmark,2014,18420
Master's or equivalent level,Total,Total,Denmark,2015,20475
Master's or equivalent level,Total,Total,Denmark,2016,27703
Master's or equivalent level,Total,Total,Denmark,2017,26141
Master's or equivalent level,Total,Total,Denmark,2018,24687
Master's or equivalent level,Total,Total,Denmark,2019,24940
Master's or equivalent level,Total,Total,Denmark,2020,24095
Master's or equivalent level,Total,Total,Denmark,2021,25480
Master's or equivalent level,Total,Total,Denmark,2022,24701
Master's or equivalent level,Total,Total,Denmark,2023,24629
Master's or equivalent level,Total,Total,Germany,2013,183931
Master's or equivalent level,Total,Total,Germany,2014,191000
Master's or equivalent level,Total,Total,Germany,2015,196668
Master's or equivalent level,Total,Total,Germany,2016,202984
Master's or equivalent level,Total,Total,Germany,2017,212850
Master's or equivalent level,Total,Total,Germany,2018,216373
Master's or equivalent level,Total,Total,Germany,2019,222689
Master's or equivalent level,Total,Total,Germany,2020,206557
Master's or equivalent level,Total,Total,Germany,2021,223691
Master's or equivalent level,Total,Total,Germany,2022,222706
Master's or equivalent level,Total,Total,Germany,2023,223999
Master's or equivalent level,Total,Total,Estonia,2013,3112
Master's or equivalent level,Total,Total,Estonia,2014,3064
Master's or equivalent level,Total,Total,Estonia,2015,3459
Master's or equivalent level,Total,Total,Estonia,2016,3336
Master's or equivalent level,Total,Total,Estonia,2017,3268
Master's or equivalent level,Total,Total,Estonia,2018,3324
Master's or equivalent level,Total,Total,Estonia,2019,3447
Master's or equivalent level,Total,Total,Estonia,2020,3579
Master's or equivalent level,Total,Total,Estonia,2021,3873
Master's or equivalent level,Total,Total,Estonia,2022,3464
Master's or equivalent level,Total,Total,Estonia,2023,3469
Master's or equivalent level,Total,Total,Ireland,2013,15687
Master's or equivalent level,Total,Total,Ireland,2014,14623
Master's or equivalent level,Total,Total,Ireland,2015,17433
Master's or equivalent level,Total,Total,Ireland,2016,19581
Master's or equivalent level,Total,Total,Ireland,2017,21242
Master's or equivalent level,Total,Total,Ireland,2018,22402
Master's or equivalent level,Total,Total,Ireland,2019,25022
Master's or equivalent level,Total,Total,Ireland,2020,27769
Master's or equivalent level,Total,Total,Ireland,2021,30420
Master's or equivalent level,Total,Total,Ireland,2022,33847
Master's or equivalent level,Total,Total,Ireland,2023,34612
Master's or equivalent level,Total,Total,Greece,2013,11299
Master's or equivalent level,Total,Total,Greece,2014,11730
Master's or equivalent level,Total,Total,Greece,2015,12757
Master's or equivalent level,Total,Total,Greece,2016,14803
Master's or equivalent level,Total,Total,Greece,2017,17124
Master's or equivalent level,Total,Total,Greece,2018,20750
Master's or equivalent level,Total,Total,Greece,2019,20643
Master's or equivalent level,Total,Total,Greece,2020,20577
Master's or equivalent level,Total,Total,Greece,2021,22950
Master's or equivalent level,Total,Total,Greece,2022,25650
Master's or equivalent level,Total,Total,Greece,2023,28588
Master's or equivalent level,Total,Total,Spain,2013,165403
Master's or equivalent level,Total,Total,Spain,2014,151370
Master's or equivalent level,Total,Total,Spain,2015,131253
