,Country,Field of Education,Degree,Value
0,AL,"Agriculture, forestry, fisheries and veterinary",Bachelor,1647.0
1,AL,"Agriculture, forestry, fisheries and veterinary",Master,1239.0
2,AL,Arts and humanities,Bachelor,8318.0
3,AL,Arts and humanities,Master,2374.0
4,AL,"Business, administration and law",Bachelor,16215.0
5,AL,"Business, administration and law",Master,12108.0
6,AL,Education,Bachelor,2469.0
7,AL,Education,Master,7512.0
8,AL,"Engineering, manufacturing and construction",Bachelor,5258.0
9,AL,"Engineering, manufacturing and construction",Master,4423.0
10,AL,Generic programmes and qualifications,Bachelor,86.0
11,AL,Generic programmes and qualifications,Master,174.0
12,AL,Health and welfare,Bachelor,7665.0
13,AL,Health and welfare,Master,7412.0
14,AL,Information and Communication Technologies,Bachelor,4063.0
15,AL,Information and Communication Technologies,Master,1558.0
16,AL,"Natural sciences, mathematics and statistics",Bachelor,3185.0
17,AL,"Natural sciences, mathematics and statistics",Master,877.0
18,AL,Services,Bachelor,2082.0
19,AL,Services,Master,434.0
20,AL,"Social sciences, journalism and information",Bachelor,5401.0
21,AL,"Social sciences, journalism and information",Master,4941.0
22,AL,Unclassified,Bachelor,0.0
23,AL,Unclassified,Master,0.0
24,AT,"Agriculture, forestry, fisheries and veterinary",Bachelor,2556.61
25,AT,"Agriculture, forestry, fisheries and veterinary",Master,1691.01
26,AT,Arts and humanities,Bachelor,37764.27
27,AT,Arts and humanities,Master,17356.05
28,AT,"Business, administration and law",Bachelor,66075.73
29,AT,"Business, administration and law",Master,73120.08
30,AT,Education,Bachelor,58409.78
31,AT,Education,Master,16054.83
32,AT,"Engineering, manufacturing and construction",Bachelor,49416.71
33,AT,"Engineering, manufacturing and construction",Master,40832.47
34,AT,Generic programmes and qualifications,Bachelor,0.0
35,AT,Generic programmes and qualifications,Master,0.0
36,AT,Health and welfare,Bachelor,35646.37
37,AT,Health and welfare,Master,15035.85
38,AT,Information and Communication Technologies,Bachelor,18306.17
39,AT,Information and Communication Technologies,Master,13045.51
40,AT,"Natural sciences, mathematics and statistics",Bachelor,30809.260000000002
41,AT,"Natural sciences, mathematics and statistics",Master,20485.989999999998
42,AT,Services,Bachelor,7142.14
43,AT,Services,Master,3293.05
44,AT,"Social sciences, journalism and information",Bachelor,52737.45
45,AT,"Social sciences, journalism and information",Master,26824.98
46,AT,Unclassified,Bachelor,2.0
47,AT,Unclassified,Master,33.0
48,BE,"Agriculture, forestry, fisheries and veterinary",Bachelor,14656.0
49,BE,"Agriculture, forestry, fisheries and veterinary",Master,4924.0
50,BE,Arts and humanities,Bachelor,53231.0
51,BE,Arts and humanities,Master,37753.0
52,BE,"Business, administration and law",Bachelor,124420.0
53,BE,"Business, administration and law",Master,69109.0
54,BE,Education,Bachelor,79751.0
55,BE,Education,Master,10942.0
56,BE,"Engineering, manufacturing and construction",Bachelor,55676.0
57,BE,"Engineering, manufacturing and construction",Master,42460.0
58,BE,Generic programmes and qualifications,Bachelor,0.0
59,BE,Generic programmes and qualifications,Master,0.0
60,BE,Health and welfare,Bachelor,149155.0
61,BE,Health and welfare,Master,54932.0
62,BE,Information and Communication Technologies,Bachelor,18714.0
63,BE,Information and Communication Technologies,Master,3068.0
64,BE,"Natural sciences, mathematics and statistics",Bachelor,14243.0
65,BE,"Natural sciences, mathematics and statistics",Master,15787.0
66,BE,Services,Bachelor,19608.0
67,BE,Services,Master,2669.0
68,BE,"Social sciences, journalism and information",Bachelor,42820.0
69,BE,"Social sciences, journalism and information",Master,41073.0
70,BE,Unclassified,Bachelor,4561.0
71,BE,Unclassified,Master,4180.0
72,BG,"Agriculture, forestry, fisheries and veterinary",Bachelor,5595.0
73,BG,"Agriculture, forestry, fisheries and veterinary",Master,3224.0
74,BG,Arts and humanities,Bachelor,27762.0
75,BG,Arts and humanities,Master,11174.0
76,BG,"Business, administration and law",Bachelor,92796.0
77,BG,"Business, administration and law",Master,81166.0
78,BG,Education,Bachelor,30167.0
79,BG,Education,Master,28436.0
80,BG,"Engineering, manufacturing and construction",Bachelor,43937.0
81,BG,"Engineering, manufacturing and construction",Master,21952.0
82,BG,Generic programmes and qualifications,Bachelor,0.0
83,BG,Generic programmes and qualifications,Master,0.0
84,BG,Health and welfare,Bachelor,22924.0
85,BG,Health and welfare,Master,7305.0
86,BG,Information and Communication Technologies,Bachelor,14659.0
87,BG,Information and Communication Technologies,Master,7222.0
88,BG,"Natural sciences, mathematics and statistics",Bachelor,9342.0
89,BG,"Natural sciences, mathematics and statistics",Master,5855.0
90,BG,Services,Bachelor,27035.0
91,BG,Services,Master,16928.0
92,BG,"Social sciences, journalism and information",Bachelor,55130.0
93,BG,"Social sciences, journalism and information",Master,28114.0
94,BG,Unclassified,Bachelor,0.0
95,BG,Unclassified,Master,0.0
96,CH,"Agriculture, forestry, fisheries and veterinary",Bachelor,3235.0
97,CH,"Agriculture, forestry, fisheries and veterinary",Master,1674.0
98,CH,Arts and humanities,Bachelor,40747.0
99,CH,Arts and humanities,Master,31250.0
100,CH,"Business, administration and law",Bachelor,99293.0
101,CH,"Business, administration and law",Master,63467.0
102,CH,Education,Bachelor,47632.0
103,CH,Education,Master,41931.0
104,CH,"Engineering, manufacturing and construction",Bachelor,56859.0
105,CH,"Engineering, manufacturing and construction",Master,29272.0
106,CH,Generic programmes and qualifications,Bachelor,0.0
107,CH,Generic programmes and qualifications,Master,0.0
108,CH,Health and welfare,Bachelor,63417.0
109,CH,Health and welfare,Master,22364.0
110,CH,Information and Communication Technologies,Bachelor,10344.0
111,CH,Information and Communication Technologies,Master,4647.0
112,CH,"Natural sciences, mathematics and statistics",Bachelor,28516.0
113,CH,"Natural sciences, mathematics and statistics",Master,27119.0
114,CH,Services,Bachelor,9606.0
115,CH,Services,Master,430.0
116,CH,"Social sciences, journalism and information",Bachelor,36759.0
117,CH,"Social sciences, journalism and information",Master,29971.0
118,CH,Unclassified,Bachelor,1794.0
119,CH,Unclassified,Master,4686.0
120,CY,"Agriculture, forestry, fisheries and veterinary",Bachelor,334.0
121,CY,"Agriculture, forestry, fisheries and veterinary",Master,42.0
122,CY,Arts and humanities,Bachelor,4382.0
123,CY,Arts and humanities,Master,3257.0
124,CY,"Business, administration and law",Bachelor,13780.0
125,CY,"Business, administration and law",Master,20248.0
126,CY,Education,Bachelor,2825.0
127,CY,Education,Master,22231.0
128,CY,"Engineering, manufacturing and construction",Bachelor,5256.0
129,CY,"Engineering, manufacturing and construction",Master,1579.0
130,CY,Generic programmes and qualifications,Bachelor,0.0
131,CY,Generic programmes and qualifications,Master,0.0
132,CY,Health and welfare,Bachelor,3746.0
133,CY,Health and welfare,Master,1962.0
134,CY,Information and Communication Technologies,Bachelor,1668.0
135,CY,Information and Communication Technologies,Master,1195.0
