,Country,Field of Education,Year,Bachelor,Master,Total
0,AL,"Agriculture, forestry, fisheries and veterinary",2011,0.0,0.0,0.0
1,AL,"Agriculture, forestry, fisheries and veterinary",2012,0.0,0.0,0.0
2,AL,"Agriculture, forestry, fisheries and veterinary",2013,0.0,0.0,0.0
3,AL,"Agriculture, forestry, fisheries and veterinary",2014,0.0,0.0,0.0
4,AL,"Agriculture, forestry, fisheries and veterinary",2015,6303.0,1950.0,8253.0
5,AL,"Agriculture, forestry, fisheries and veterinary",2016,4963.0,2007.0,6970.0
6,AL,"Agriculture, forestry, fisheries and veterinary",2017,2938.0,4561.0,7499.0
7,AL,"Agriculture, forestry, fisheries and veterinary",2018,2932.0,1731.0,4663.0
8,AL,"Agriculture, forestry, fisheries and veterinary",2019,2365.0,1919.0,4284.0
9,AL,"Agriculture, forestry, fisheries and veterinary",2020,0.0,0.0,0.0
10,AL,"Agriculture, forestry, fisheries and veterinary",2021,0.0,0.0,0.0
11,AL,"Agriculture, forestry, fisheries and veterinary",2022,0.0,0.0,0.0
12,AL,Arts and humanities,2011,0.0,0.0,0.0
13,AL,Arts and humanities,2012,0.0,0.0,0.0
14,AL,Arts and humanities,2013,0.0,0.0,0.0
15,AL,Arts and humanities,2014,0.0,0.0,0.0
16,AL,Arts and humanities,2015,12824.0,2547.0,15371.0
17,AL,Arts and humanities,2016,12716.0,3567.0,16283.0
18,AL,Arts and humanities,2017,14123.0,7507.0,21630.0
19,AL,Arts and humanities,2018,13034.0,1162.0,14196.0
20,AL,Arts and humanities,2019,11104.0,1053.0,12157.0
21,AL,Arts and humanities,2020,0.0,0.0,0.0
22,AL,Arts and humanities,2021,0.0,0.0,0.0
23,AL,Arts and humanities,2022,0.0,0.0,0.0
24,AL,"Business, administration and law",2011,0.0,0.0,0.0
25,AL,"Business, administration and law",2012,0.0,0.0,0.0
26,AL,"Business, administration and law",2013,0.0,0.0,0.0
27,AL,"Business, administration and law",2014,0.0,0.0,0.0
28,AL,"Business, administration and law",2015,25864.0,9016.0,34880.0
29,AL,"Business, administration and law",2016,22793.0,7944.0,30737.0
30,AL,"Business, administration and law",2017,20914.0,5814.0,26728.0
31,AL,"Business, administration and law",2018,20893.0,10868.0,31761.0
32,AL,"Business, administration and law",2019,20475.0,10320.0,30795.0
33,AL,"Business, administration and law",2020,0.0,0.0,0.0
